trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.3, 'e': 0.44932896411722156}",30,19,5.2853576539474085,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.3, 'e': 0.44485806622294111}",30,9,-40.473941255808604,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 0}",1
82,False,"{'a': 0.3, 'e': 0.44043165450599925}",25,0,-15.385327755684504,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
83,False,"{'a': 0.3, 'e': 0.43604928632153556}",25,19,-2.077068472515368,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.3, 'e': 0.43171052342907973}",25,0,-54.35719696056143,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
85,False,"{'a': 0.3, 'e': 0.42741493194872671}",25,0,-124.0776988352529,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
86,False,"{'a': 0.3, 'e': 0.42316208231774882}",20,0,-74.73764761180261,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
87,False,"{'a': 0.3, 'e': 0.418951549247639}",20,0,-50.501663012992324,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
88,False,"{'a': 0.3, 'e': 0.41478291168158138}",30,8,-21.497029782516314,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.3, 'e': 0.4106557527523455}",20,8,-45.18370013165392,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
90,False,"{'a': 0.3, 'e': 0.40656965974059911}",35,27,7.588133790966325,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.3, 'e': 0.40252422403363597}",25,12,16.90915637892747,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.3, 'e': 0.39851904108451414}",20,1,-40.34845267041164,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.3, 'e': 0.39455371037160109}",20,3,-101.33173389641723,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
94,False,"{'a': 0.3, 'e': 0.39062783535852108}",20,0,-24.73109708425827,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
95,False,"{'a': 0.3, 'e': 0.38674102345450118}",20,13,15.99231774503924,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.3, 'e': 0.38289288597511206}",30,15,-6.925674022639748,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
97,False,"{'a': 0.3, 'e': 0.37908303810339883}",20,11,-4.385876980864998,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
